task_id,difficulty_category,pair,dtw_distance,dtw_ci_lo,dtw_ci_hi,l2_distance,dtw_l2_ratio,n_a,n_b
1a2e2828,Easy for both,human_success_vs_codeit_success,0.3388,0.3388,1.0699,1.3546,0.2501,6,57
1a2e2828,Easy for both,human_failed_vs_codeit_failed,0.0,,,0.0,,2,554
1a2e2828,Easy for both,human_success_vs_human_failed,3.3919,,,3.3919,1.0,6,2
1a2e2828,Easy for both,codeit_success_vs_codeit_failed,4.1235,,,4.1235,1.0,57,554
27f8ce4f,Hard for both,human_success_vs_codeit_success,4.9073,,,5.581,0.8793,2,404
27f8ce4f,Hard for both,human_failed_vs_codeit_failed,3.1476,2.0292,3.9391,3.1476,1.0,3,105
27f8ce4f,Hard for both,human_success_vs_human_failed,4.0398,,,4.0398,1.0,2,3
27f8ce4f,Hard for both,codeit_success_vs_codeit_failed,0.1245,,,0.4814,0.2586,404,105
3194b014,Easy for both,human_success_vs_codeit_success,2.0475,1.7704,2.0475,2.8721,0.7129,10,725
3194b014,Easy for both,human_failed_vs_codeit_failed,0.0,,,0.0,,1,44
3194b014,Easy for both,human_success_vs_human_failed,5.7881,,,5.7881,1.0,10,1
3194b014,Easy for both,codeit_success_vs_codeit_failed,4.1235,,,4.1235,1.0,725,44
31d5ba1a,Only hard for humans,human_failed_vs_codeit_failed,4.0973,,,4.0973,1.0,9,1
31d5ba1a,Only hard for humans,codeit_success_vs_codeit_failed,3.5292,,,3.5292,1.0,330,1
32e9702f,Hard for both,human_success_vs_codeit_success,1.2427,0.5831,6.8265,2.0749,0.5989,6,406
32e9702f,Hard for both,human_failed_vs_codeit_failed,5.8275,3.5109,6.6047,5.8275,1.0,6,94
32e9702f,Hard for both,human_success_vs_human_failed,5.5763,2.8087,9.3907,5.5763,1.0,6,6
32e9702f,Hard for both,codeit_success_vs_codeit_failed,1.5647,,,2.4384,0.6417,406,94
34b99a2b,Hard for both,human_success_vs_codeit_success,6.8342,,,6.8776,0.9937,1,115
34b99a2b,Hard for both,human_failed_vs_codeit_failed,2.5879,,,2.6302,0.9839,8,1
34b99a2b,Hard for both,human_success_vs_human_failed,5.0228,,,5.0228,1.0,1,8
34b99a2b,Hard for both,codeit_success_vs_codeit_failed,1.6387,,,1.7224,0.9514,115,1
358ba94e,Easy for both,human_success_vs_codeit_success,1.7522,0.0593,3.2531,2.5868,0.6773,9,290
358ba94e,Easy for both,human_failed_vs_codeit_failed,6.0867,,,6.0867,1.0,1,415
358ba94e,Easy for both,human_success_vs_human_failed,6.0638,,,6.0638,1.0,9,1
358ba94e,Easy for both,codeit_success_vs_codeit_failed,2.1157,,,2.2222,0.9521,290,415
48131b3c,Hard for both,human_success_vs_codeit_success,3.8742,1.6272,5.1074,4.6519,0.8328,6,119
48131b3c,Hard for both,human_failed_vs_codeit_failed,1.6444,1.4796,2.1112,1.6444,1.0,6,158
48131b3c,Hard for both,human_success_vs_human_failed,6.0697,4.2259,7.1901,6.0697,1.0,6,6
48131b3c,Hard for both,codeit_success_vs_codeit_failed,1.0801,,,1.3374,0.8076,119,158
48f8583b,Hard for both,human_success_vs_codeit_success,5.6818,4.3588,7.1277,6.3604,0.8933,6,178
48f8583b,Hard for both,human_failed_vs_codeit_failed,3.6177,3.0019,4.365,3.659,0.9887,10,61
48f8583b,Hard for both,human_success_vs_human_failed,3.6572,2.8327,4.6148,3.689,0.9914,6,10
48f8583b,Hard for both,codeit_success_vs_codeit_failed,0.0758,,,0.2171,0.3493,178,61
506d28a5,Only hard for humans,human_success_vs_codeit_success,1.1457,0.8947,1.5678,1.9529,0.5867,3,693
506d28a5,Only hard for humans,human_success_vs_human_failed,4.0482,2.889,6.5242,4.2235,0.9585,3,4
59341089,Only hard for AI,human_success_vs_codeit_success,3.1892,2.364,5.1012,4.1557,0.7674,9,532
59341089,Only hard for AI,human_failed_vs_codeit_failed,3.4251,,,3.4251,1.0,2,1
59341089,Only hard for AI,human_success_vs_human_failed,3.1712,,,3.1712,1.0,9,2
59341089,Only hard for AI,codeit_success_vs_codeit_failed,0.2328,,,2.2794,0.1021,532,1
5d2a5c43,Hard for both,human_success_vs_codeit_success,1.9169,,,2.3294,0.8229,2,268
5d2a5c43,Hard for both,human_failed_vs_codeit_failed,3.0917,,,3.1415,0.9841,6,1
5d2a5c43,Hard for both,human_success_vs_human_failed,2.06,,,2.1279,0.9681,2,6
5d2a5c43,Hard for both,codeit_success_vs_codeit_failed,0.852,,,1.5908,0.5356,268,1
60c09cac,Only hard for humans,human_success_vs_codeit_success,2.4217,1.3601,5.5254,3.2166,0.7529,5,656
60c09cac,Only hard for humans,human_failed_vs_codeit_failed,2.6917,1.1837,7.7899,2.8546,0.9429,4,5
60c09cac,Only hard for humans,human_success_vs_human_failed,5.1679,2.3884,8.1473,5.2657,0.9814,5,4
60c09cac,Only hard for humans,codeit_success_vs_codeit_failed,2.2335,,,3.0823,0.7246,656,5
62ab2642,Only hard for AI,human_success_vs_codeit_success,11.4337,7.3545,16.3013,12.3888,0.9229,5,96
62ab2642,Only hard for AI,human_failed_vs_codeit_failed,12.9953,,,13.0294,0.9974,1,46
62ab2642,Only hard for AI,human_success_vs_human_failed,9.6446,,,11.6266,0.8295,5,1
62ab2642,Only hard for AI,codeit_success_vs_codeit_failed,1.1119,,,1.1119,1.0,96,46
642d658d,Easy for both,human_success_vs_codeit_success,2.4253,0.1328,3.509,3.4043,0.7124,5,20
642d658d,Easy for both,human_failed_vs_codeit_failed,0.0,,,0.0,,1,153
642d658d,Easy for both,human_success_vs_human_failed,3.3919,,,3.3919,1.0,5,1
642d658d,Easy for both,codeit_success_vs_codeit_failed,5.5155,,,5.5155,1.0,20,153
66f2d22f,Only hard for humans,human_success_vs_codeit_success,5.3247,3.6268,7.116,5.8366,0.9123,4,534
66f2d22f,Only hard for humans,human_success_vs_human_failed,8.7621,2.3923,9.822,8.7621,1.0,4,7
67b4a34d,Only hard for humans,human_success_vs_codeit_success,1.4236,1.1446,6.1837,2.2481,0.6333,4,633
67b4a34d,Only hard for humans,human_failed_vs_codeit_failed,1.9118,0.926,2.5309,1.9178,0.9969,4,20
67b4a34d,Only hard for humans,human_success_vs_human_failed,4.7053,3.7193,6.5985,4.7336,0.994,4,4
67b4a34d,Only hard for humans,codeit_success_vs_codeit_failed,2.7573,,,2.9174,0.9451,633,20
68b67ca3,Easy for both,human_success_vs_codeit_success,0.7701,0.3906,1.8039,1.2862,0.5988,10,623
68b67ca3,Easy for both,human_failed_vs_codeit_failed,7.8164,,,7.8164,1.0,2,10
68b67ca3,Easy for both,human_success_vs_human_failed,6.5183,,,6.5183,1.0,10,2
68b67ca3,Easy for both,codeit_success_vs_codeit_failed,1.9634,,,2.7464,0.7149,623,10
6df30ad6,Easy for both,human_success_vs_codeit_success,6.7529,4.8662,10.2172,7.2583,0.9304,12,408
6df30ad6,Easy for both,human_failed_vs_codeit_failed,5.1376,,,5.2683,0.9752,2,431
6df30ad6,Easy for both,human_success_vs_human_failed,10.1265,,,10.2445,0.9885,12,2
6df30ad6,Easy for both,codeit_success_vs_codeit_failed,1.1774,,,1.2327,0.9551,408,431
7039b2d7,Only hard for AI,human_success_vs_codeit_success,1.4266,0.0255,2.4285,2.2084,0.646,8,115
7039b2d7,Only hard for AI,human_failed_vs_codeit_failed,0.0,0.0,0.0,0.0,,4,288
7039b2d7,Only hard for AI,human_success_vs_human_failed,4.6528,3.6419,5.7881,4.6528,1.0,8,4
7039b2d7,Only hard for AI,codeit_success_vs_codeit_failed,5.7881,,,5.7881,1.0,115,288
7953d61e,Hard for both,human_success_vs_codeit_success,5.2281,4.7966,5.5908,5.9915,0.8726,3,267
7953d61e,Hard for both,human_success_vs_human_failed,2.7999,2.1353,3.5917,2.8071,0.9974,3,8
7bb29440,Easy for both,human_success_vs_codeit_success,1.0649,0.0358,4.1601,1.7222,0.6184,5,15
7bb29440,Easy for both,human_failed_vs_codeit_failed,0.0,,,0.0,,2,462
7bb29440,Easy for both,human_success_vs_human_failed,5.795,,,5.795,1.0,5,2
7bb29440,Easy for both,codeit_success_vs_codeit_failed,5.7881,,,5.7881,1.0,15,462
833dafe3,Only hard for AI,human_success_vs_codeit_success,6.6103,6.1481,7.0337,7.2381,0.9133,9,237
833dafe3,Only hard for AI,human_failed_vs_codeit_failed,2.0191,,,2.0191,1.0,1,3
833dafe3,Only hard for AI,human_success_vs_human_failed,7.8727,,,7.8727,1.0,9,1
833dafe3,Only hard for AI,codeit_success_vs_codeit_failed,0.1045,,,0.351,0.2978,237,3
84db8fc4,Hard for both,human_success_vs_codeit_success,3.8812,,,4.8343,0.8028,2,870
84db8fc4,Hard for both,human_failed_vs_codeit_failed,2.8103,1.7614,5.3355,2.911,0.9654,4,21
84db8fc4,Hard for both,human_success_vs_human_failed,4.0316,,,4.203,0.9592,2,4
84db8fc4,Hard for both,codeit_success_vs_codeit_failed,1.5093,,,1.5551,0.9706,870,21
84f2aca1,Easy for both,human_success_vs_codeit_success,45.8624,1.69,46.0647,46.0521,0.9959,7,642
84f2aca1,Easy for both,human_failed_vs_codeit_failed,43.4003,,,43.4003,1.0,2,185
84f2aca1,Easy for both,human_success_vs_human_failed,54.4128,,,54.4128,1.0,7,2
84f2aca1,Easy for both,codeit_success_vs_codeit_failed,3.3488,,,3.629,0.9228,642,185
8597cfd7,Easy for both,human_success_vs_codeit_success,0.0,0.0,1.1147,0.0,,11,311
8597cfd7,Easy for both,human_failed_vs_codeit_failed,0.0,,,0.0,,1,273
8597cfd7,Easy for both,human_success_vs_human_failed,5.7881,,,5.7881,1.0,11,1
8597cfd7,Easy for both,codeit_success_vs_codeit_failed,5.7881,,,5.7881,1.0,311,273
8fbca751,Only hard for AI,human_success_vs_codeit_success,6.1015,3.9009,9.739,6.695,0.9113,8,75
8fbca751,Only hard for AI,human_failed_vs_codeit_failed,9.2688,,,9.2688,1.0,2,204
8fbca751,Only hard for AI,human_success_vs_human_failed,10.8058,,,10.8058,1.0,8,2
8fbca751,Only hard for AI,codeit_success_vs_codeit_failed,4.6306,,,5.1819,0.8936,75,204
903d1b4a,Only hard for AI,human_success_vs_codeit_success,16.8563,,,16.923,0.9961,15,1
903d1b4a,Only hard for AI,human_success_vs_human_failed,18.1453,15.3661,20.0088,18.1453,1.0,15,3
929ab4e9,Hard for both,human_success_vs_codeit_success,78.4063,,,79.465,0.9867,2,100
929ab4e9,Hard for both,human_failed_vs_codeit_failed,7.3036,3.6741,66.1881,7.33,0.9964,6,237
929ab4e9,Hard for both,human_success_vs_human_failed,75.0603,,,75.0787,0.9998,2,6
929ab4e9,Hard for both,codeit_success_vs_codeit_failed,0.8988,,,2.2373,0.4017,100,237
94133066,Hard for both,human_success_vs_codeit_success,4.5274,,,5.4062,0.8374,2,244
94133066,Hard for both,human_success_vs_human_failed,7.8092,,,7.8092,1.0,2,6
9a4bb226,Easy for both,human_success_vs_codeit_success,0.0265,0.0,2.163,0.1721,0.1541,7,15
9a4bb226,Easy for both,human_failed_vs_codeit_failed,2.2778,2.2054,2.2993,2.2778,1.0,3,803
9a4bb226,Easy for both,human_success_vs_human_failed,5.7572,5.5931,6.0875,5.7572,1.0,7,3
9a4bb226,Easy for both,codeit_success_vs_codeit_failed,3.4396,,,3.7036,0.9287,15,803
9b4c17c4,Only hard for AI,human_success_vs_codeit_success,24.7168,21.6467,26.0006,24.7168,1.0,5,18
9b4c17c4,Only hard for AI,human_success_vs_human_failed,0.0,,,0.0,,5,1
ae58858e,Only hard for AI,human_success_vs_codeit_success,12.5879,8.4405,14.9195,12.9923,0.9689,7,241
ae58858e,Only hard for AI,human_failed_vs_codeit_failed,3.8587,2.7006,4.4668,3.8587,1.0,3,182
ae58858e,Only hard for AI,human_success_vs_human_failed,12.9288,9.8172,15.1756,12.9288,1.0,7,3
ae58858e,Only hard for AI,codeit_success_vs_codeit_failed,1.4512,,,1.9294,0.7522,241,182
bc4146bd,Hard for both,human_success_vs_codeit_success,4.0028,1.612,7.5673,4.9018,0.8166,5,173
bc4146bd,Hard for both,human_success_vs_human_failed,4.6875,1.9081,7.7223,4.837,0.9691,5,7
be03b35f,Only hard for AI,human_success_vs_codeit_success,2.6058,2.337,7.5571,3.5324,0.7377,7,524
be03b35f,Only hard for AI,human_failed_vs_codeit_failed,3.0318,1.696,6.81,3.1592,0.9597,3,9
be03b35f,Only hard for AI,human_success_vs_human_failed,3.1151,2.1211,6.5836,3.3068,0.942,7,3
be03b35f,Only hard for AI,codeit_success_vs_codeit_failed,1.0806,,,1.3586,0.7954,524,9
cd3c21df,Easy for both,human_success_vs_codeit_success,0.1332,0.1332,1.1147,0.8207,0.1623,11,71
cd3c21df,Easy for both,human_failed_vs_codeit_failed,0.0,,,0.0,,1,634
cd3c21df,Easy for both,human_success_vs_human_failed,5.3654,,,5.3654,1.0,11,1
cd3c21df,Easy for both,codeit_success_vs_codeit_failed,5.7881,,,5.7881,1.0,71,634
d19f7514,Hard for both,human_success_vs_codeit_success,1.7469,1.0696,5.9649,2.4604,0.71,4,554
d19f7514,Hard for both,human_failed_vs_codeit_failed,3.2325,2.8347,4.8252,3.5301,0.9157,9,4
d19f7514,Hard for both,human_success_vs_human_failed,3.2075,1.5914,5.0286,3.487,0.9199,4,9
d19f7514,Hard for both,codeit_success_vs_codeit_failed,0.6929,,,1.6674,0.4155,554,4
d4b1c2b1,Only hard for humans,human_success_vs_codeit_success,0.2643,0.056,1.9627,0.744,0.3553,6,204
d4b1c2b1,Only hard for humans,human_failed_vs_codeit_failed,0.0,0.0,0.0,0.0,,6,157
d4b1c2b1,Only hard for humans,human_success_vs_human_failed,4.2292,3.2802,5.612,4.2292,1.0,6,6
d4b1c2b1,Only hard for humans,codeit_success_vs_codeit_failed,4.1235,,,4.1235,1.0,204,157
e0fb7511,Only hard for AI,human_success_vs_codeit_success,8.6778,5.4811,11.4543,8.971,0.9673,7,510
e0fb7511,Only hard for AI,human_failed_vs_codeit_failed,2.503,1.8855,3.3932,2.503,1.0,3,14
e0fb7511,Only hard for AI,human_success_vs_human_failed,10.1594,7.0017,13.155,10.1594,1.0,7,3
e0fb7511,Only hard for AI,codeit_success_vs_codeit_failed,0.8898,,,1.4032,0.6341,510,14
e133d23d,Only hard for humans,human_success_vs_codeit_success,1.8157,0.7045,2.9678,2.4274,0.748,6,589
e133d23d,Only hard for humans,human_failed_vs_codeit_failed,2.8975,2.2972,4.1616,3.2007,0.9053,4,120
e133d23d,Only hard for humans,human_success_vs_human_failed,5.0396,2.3086,6.8979,5.1614,0.9764,6,4
e133d23d,Only hard for humans,codeit_success_vs_codeit_failed,0.9069,,,0.9935,0.9128,589,120
e345f17b,Only hard for humans,human_success_vs_codeit_success,3.3317,2.1059,3.4108,4.0651,0.8196,5,761
e345f17b,Only hard for humans,human_failed_vs_codeit_failed,2.9167,,,3.24,0.9002,4,2
e345f17b,Only hard for humans,human_success_vs_human_failed,2.5262,2.2299,5.6376,3.0244,0.8353,5,4
e345f17b,Only hard for humans,codeit_success_vs_codeit_failed,2.4988,,,2.6332,0.9489,761,2
e66aafb8,Easy for both,human_success_vs_codeit_success,1.6869,1.6043,3.3455,2.4185,0.6975,10,672
e66aafb8,Easy for both,human_failed_vs_codeit_failed,2.8378,2.5408,4.7788,2.9208,0.9716,3,84
e66aafb8,Easy for both,human_success_vs_human_failed,4.2188,4.0619,6.0285,4.3102,0.9788,10,3
e66aafb8,Easy for both,codeit_success_vs_codeit_failed,3.3791,,,3.5482,0.9523,672,84
e7639916,Only hard for AI,human_success_vs_codeit_success,8.0273,6.1304,15.0751,8.1037,0.9906,8,588
e7639916,Only hard for AI,human_failed_vs_codeit_failed,45.4036,45.4035,45.4035,45.4036,1.0,3,139
e7639916,Only hard for AI,human_success_vs_human_failed,52.1167,48.7204,52.9922,52.1167,1.0,8,3
e7639916,Only hard for AI,codeit_success_vs_codeit_failed,10.209,,,10.209,1.0,588,139
e872b94a,Only hard for humans,human_success_vs_codeit_success,0.7883,,,1.3537,0.5823,9,2
e872b94a,Only hard for humans,human_failed_vs_codeit_failed,0.0,0.0,0.0,0.0,,6,288
e872b94a,Only hard for humans,human_success_vs_human_failed,5.7881,5.71,10.0,5.7881,1.0,9,6
e872b94a,Only hard for humans,codeit_success_vs_codeit_failed,4.744,,,4.744,1.0,2,288
ed74f2f2,Hard for both,human_success_vs_codeit_success,5.0455,3.8841,5.0455,5.752,0.8772,7,152
ed74f2f2,Hard for both,human_failed_vs_codeit_failed,0.6481,0.0,1.9923,0.6481,1.0,4,547
ed74f2f2,Hard for both,human_success_vs_human_failed,5.9029,4.6711,6.5183,5.9626,0.99,7,4
ed74f2f2,Hard for both,codeit_success_vs_codeit_failed,2.286,,,2.286,1.0,152,547
ed98d772,Only hard for humans,human_success_vs_codeit_success,5.9927,5.3525,6.7502,6.685,0.8964,3,294
ed98d772,Only hard for humans,human_failed_vs_codeit_failed,5.6534,4.541,6.7432,5.7783,0.9784,7,312
ed98d772,Only hard for humans,human_success_vs_human_failed,2.4872,1.7775,3.1094,2.563,0.9704,3,7
ed98d772,Only hard for humans,codeit_success_vs_codeit_failed,0.1532,,,0.3321,0.4614,294,312
f0df5ff0,Easy for both,human_success_vs_codeit_success,5.0671,5.0579,9.7303,5.4181,0.9352,7,685
f0df5ff0,Easy for both,human_failed_vs_codeit_failed,4.9714,,,5.0667,0.9812,2,15
f0df5ff0,Easy for both,human_success_vs_human_failed,6.1385,,,6.6868,0.918,7,2
f0df5ff0,Easy for both,codeit_success_vs_codeit_failed,5.5946,,,5.9708,0.937,685,15
f4081712,Easy for both,human_success_vs_codeit_success,1.8456,1.2672,2.3224,2.6716,0.6908,8,563
f4081712,Easy for both,human_failed_vs_codeit_failed,2.6671,2.2703,2.8939,2.6671,1.0,4,126
f4081712,Easy for both,human_success_vs_human_failed,5.4944,4.3605,5.7817,5.4944,1.0,8,4
f4081712,Easy for both,codeit_success_vs_codeit_failed,2.4305,,,2.573,0.9446,563,126
f5aa3634,Easy for both,human_success_vs_codeit_success,3.0181,1.5255,4.2313,4.1224,0.7321,12,179
f5aa3634,Easy for both,human_failed_vs_codeit_failed,0.0,,,0.0,,2,423
f5aa3634,Easy for both,human_success_vs_human_failed,5.4502,,,5.4502,1.0,12,2
f5aa3634,Easy for both,codeit_success_vs_codeit_failed,8.1546,,,8.1546,1.0,179,423
