task_id,human_success_n,human_success_final_progress,human_success_median_progress,human_failed_n,human_failed_final_progress,human_failed_median_progress,codeit_success_n,codeit_success_final_progress,codeit_success_median_progress,codeit_failed_n,codeit_failed_final_progress,codeit_failed_median_progress
bc4146bd,5,1.0,0.375,7,0.0,0.0,173,1.0,0.0,0,,
be03b35f,7,1.0,0.375,3,0.0,0.0,524,1.0,0.0,9,0.5,0.0
cd3c21df,11,1.0,0.4167,1,0.0,0.0,71,1.0,0.5,634,0.0,0.0
d19f7514,4,1.0,0.5434,9,0.0,-0.1919,554,1.0,0.2142,4,0.75,0.5
d4b1c2b1,6,1.0,0.1667,6,0.0,0.0,204,1.0,0.0051,157,0.0,0.0
e0fb7511,7,1.0,0.855,3,0.0,0.0,510,1.0,0.5,14,0.7576,0.3788
e133d23d,6,1.0,0.4643,4,0.0,0.0,589,1.0,0.2222,120,0.6667,0.2222
e345f17b,5,1.0,0.8958,4,0.0,0.0,761,1.0,0.327,2,0.4375,0.2936
e66aafb8,10,1.0,0.5,3,0.0,0.0,672,1.0,0.0101,84,0.0,0.0735
e7639916,8,1.0,0.9011,3,0.0,0.0,588,1.0,0.5,139,-0.9677,-0.1965
e872b94a,9,1.0,0.5,6,0.0,0.0,2,1.0,0.4975,288,0.0,0.0
ed74f2f2,7,1.0,0.5,4,-0.0714,0.0,152,1.0,0.0,547,0.0,0.0
ed98d772,3,1.0,0.6923,7,0.0,-0.0157,294,1.0,0.0,312,0.8889,0.0
f0df5ff0,7,1.0,0.8956,2,0.36,0.3795,685,1.0,0.0051,15,-0.0455,-0.2342
f4081712,8,1.0,0.4375,4,0.0,0.0,563,1.0,0.0,126,0.5,0.0013
f5aa3634,12,1.0,0.3958,2,0.0,0.0,179,1.0,0.9949,423,0.0,0.0
