task_id,pair,group1,group2,baseline_group,L2,pearson_r,pearson_p
212895b5,pair3,human_success,human_failed,B,42.2315,-0.489,0.0
21f83797,pair1,human_success,codeit_success,B,2.2393,0.9383,0.0
21f83797,pair3,human_success,human_failed,B,6.4794,-0.9475,0.0
22a4bbc2,pair3,human_success,human_failed,B,10.1053,-0.8126,0.0
25094a63,pair3,human_success,human_failed,B,29.2591,-0.883,0.0
2546ccf6,pair2,human_failed,codeit_failed,B,76.9765,-0.0842,0.405169
2546ccf6,pair3,human_success,human_failed,B,91.463,-0.5885,0.0
256b0a75,pair3,human_success,human_failed,B,3.573,0.7872,0.0
2685904e,pair3,human_success,human_failed,B,20.7284,0.8367,0.0
2697da3f,pair3,human_success,human_failed,A,8.0069,,
2753e76c,pair3,human_success,human_failed,A,5.8848,,
27a77e38,pair2,human_failed,codeit_failed,B,170.4777,0.8962,0.0
27a77e38,pair3,human_success,human_failed,B,352.9846,-0.5626,0.0
27f8ce4f,pair1,human_success,codeit_success,A,5.5175,0.4916,0.0
27f8ce4f,pair2,human_failed,codeit_failed,A,1.1714,0.7467,0.0
27f8ce4f,pair3,human_success,human_failed,A,4.9806,0.8916,0.0
27f8ce4f,pair4,codeit_success,codeit_failed,A,1.4255,0.9024,0.0
281123b4,pair3,human_success,human_failed,A,3.9449,0.8502,0.0
29700607,pair3,human_success,human_failed,B,6.5382,-0.7998,0.0
2a5f8217,pair2,human_failed,codeit_failed,B,13.9529,-0.1892,0.059366
2a5f8217,pair3,human_success,human_failed,B,18.148,0.4967,0.0
2b01abd0,pair3,human_success,human_failed,B,41.0567,-0.3814,9.1e-05
2c0b0aff,pair1,human_success,codeit_success,A,2.0561,0.9088,0.0
2c0b0aff,pair2,human_failed,codeit_failed,A,2.6809,,
2c0b0aff,pair3,human_success,human_failed,A,3.3222,0.6019,0.0
2c0b0aff,pair4,codeit_success,codeit_failed,A,5.7879,,
2c737e39,pair3,human_success,human_failed,B,24.9905,-0.3983,4.1e-05
2f0c5170,pair3,human_success,human_failed,A,6.1972,0.5922,0.0
310f3251,pair2,human_failed,codeit_failed,A,3.2914,,
310f3251,pair3,human_success,human_failed,A,8.8645,,
3194b014,pair1,human_success,codeit_success,A,1.5324,0.9535,0.0
3194b014,pair2,human_failed,codeit_failed,A,0.0,,
3194b014,pair3,human_success,human_failed,A,4.5061,,
3194b014,pair4,codeit_success,codeit_failed,A,5.2216,,
319f2597,pair3,human_success,human_failed,B,5.9898,0.606,0.0
31adaf00,pair2,human_failed,codeit_failed,B,10.8566,-0.8737,0.0
31adaf00,pair3,human_success,human_failed,B,9.8291,-0.7608,0.0
31d5ba1a,pair2,human_failed,codeit_failed,A,2.0165,0.7418,0.0
31d5ba1a,pair4,codeit_success,codeit_failed,A,0.3136,0.9966,0.0
32e9702f,pair1,human_success,codeit_success,B,1.1343,0.9677,0.0
32e9702f,pair2,human_failed,codeit_failed,B,5.9641,0.9389,0.0
32e9702f,pair3,human_success,human_failed,B,5.2978,0.8777,0.0
32e9702f,pair4,codeit_success,codeit_failed,B,1.7242,0.9442,0.0
332efdb3,pair3,human_success,human_failed,B,5.113,-0.3164,0.001339
3391f8c0,pair3,human_success,human_failed,B,4.5326,0.6018,0.0
3490cc26,pair3,human_success,human_failed,B,12.3414,-0.7379,0.0
34b99a2b,pair1,human_success,codeit_success,A,4.815,0.6131,0.0
34b99a2b,pair3,human_success,human_failed,A,3.9067,0.7431,0.0
351d6448,pair3,human_success,human_failed,A,6.9051,,
358ba94e,pair1,human_success,codeit_success,A,2.9498,0.8622,0.0
358ba94e,pair2,human_failed,codeit_failed,A,4.6039,,
358ba94e,pair3,human_success,human_failed,A,5.8887,,
358ba94e,pair4,codeit_success,codeit_failed,A,2.496,0.7963,0.0
37d3e8b2,pair3,human_success,human_failed,B,5.117,,
3a301edc,pair2,human_failed,codeit_failed,B,9.6906,-0.0948,0.348224
3a301edc,pair3,human_success,human_failed,B,15.8295,-0.9937,0.0
3b4c2228,pair1,human_success,codeit_success,A,5.5395,0.5836,0.0
3b4c2228,pair2,human_failed,codeit_failed,A,3.8116,0.5705,0.0
3b4c2228,pair3,human_success,human_failed,A,2.2665,0.9573,0.0
3b4c2228,pair4,codeit_success,codeit_failed,A,1.1927,0.9542,0.0
3d31c5b3,pair3,human_success,human_failed,A,6.2343,0.9793,0.0
3ed85e70,pair3,human_success,human_failed,B,4.0113,0.9249,0.0
3ee1011a,pair3,human_success,human_failed,A,5.4998,,
3f23242b,pair3,human_success,human_failed,B,12.8165,-0.832,0.0
40f6cd08,pair3,human_success,human_failed,B,2.4414,0.5939,0.0
414297c0,pair3,human_success,human_failed,A,5.1421,0.6368,0.0
423a55dc,pair3,human_success,human_failed,B,5.0254,0.2889,0.003551
42918530,pair2,human_failed,codeit_failed,B,64.7635,0.8957,0.0
42918530,pair3,human_success,human_failed,B,130.5509,-0.2848,0.00408
42a15761,pair3,human_success,human_failed,B,45.5038,-0.539,0.0
4364c1c4,pair3,human_success,human_failed,B,12.813,0.0222,0.826495
456873bc,pair3,human_success,human_failed,B,7.7405,0.4936,0.0
45bbe264,pair2,human_failed,codeit_failed,B,3.7897,0.9573,0.0
45bbe264,pair3,human_success,human_failed,B,3.6175,0.9691,0.0
477d2879,pair2,human_failed,codeit_failed,B,0.4264,0.3107,0.001655
477d2879,pair3,human_success,human_failed,B,5.0655,0.854,0.0
47996f11,pair3,human_success,human_failed,B,5.2613,0.6171,0.0
48131b3c,pair1,human_success,codeit_success,A,4.5814,0.6723,0.0
48131b3c,pair2,human_failed,codeit_failed,A,2.7382,,
48131b3c,pair3,human_success,human_failed,A,6.0121,,
48131b3c,pair4,codeit_success,codeit_failed,A,2.0641,0.6686,0.0
4852f2fa,pair2,human_failed,codeit_failed,A,0.5932,,
4852f2fa,pair3,human_success,human_failed,A,7.0863,,
48f8583b,pair1,human_success,codeit_success,A,6.1977,0.5361,0.0
48f8583b,pair2,human_failed,codeit_failed,A,3.0163,0.5053,0.0
48f8583b,pair3,human_success,human_failed,A,3.9061,0.9116,0.0
48f8583b,pair4,codeit_success,codeit_failed,A,0.3928,0.9928,0.0
4aab4007,pair2,human_failed,codeit_failed,B,4.7878,0.8424,0.0
4aab4007,pair3,human_success,human_failed,B,9.1754,0.7879,0.0
4acc7107,pair3,human_success,human_failed,B,5.2271,0.8556,0.0
4b6b68e5,pair3,human_success,human_failed,B,6.8733,0.5166,0.0
4c177718,pair3,human_success,human_failed,A,6.371,0.7405,0.0
4cd1b7b2,pair2,human_failed,codeit_failed,B,7.2192,-0.1118,0.267925
4cd1b7b2,pair3,human_success,human_failed,B,6.8402,0.3967,4.4e-05
4e45f183,pair3,human_success,human_failed,B,26.6448,-0.8259,0.0
4e469f39,pair3,human_success,human_failed,B,12.0058,-0.2984,0.002567
4f537728,pair3,human_success,human_failed,B,31.6079,-0.7291,0.0
4ff4c9da,pair2,human_failed,codeit_failed,B,32.7583,-0.9427,0.0
4ff4c9da,pair3,human_success,human_failed,B,3.4504,0.9882,0.0
505fff84,pair2,human_failed,codeit_failed,A,0.0,,
505fff84,pair3,human_success,human_failed,A,7.2356,,
506d28a5,pair1,human_success,codeit_success,A,2.7647,0.7492,0.0
506d28a5,pair2,human_failed,codeit_failed,A,1.5402,0.8063,0.0
506d28a5,pair3,human_success,human_failed,A,3.2505,0.9154,0.0
506d28a5,pair4,codeit_success,codeit_failed,A,0.9711,0.9758,0.0
50a16a69,pair1,human_success,codeit_success,A,3.5867,0.7827,0.0
50a16a69,pair3,human_success,human_failed,A,5.6208,,
50aad11f,pair3,human_success,human_failed,A,7.0235,,
50f325b5,pair3,human_success,human_failed,B,88.4201,-0.0981,0.331601
516b51b7,pair3,human_success,human_failed,B,4.3017,0.6092,0.0
5207a7b5,pair3,human_success,human_failed,B,25.698,-0.4184,1.5e-05
5289ad53,pair3,human_success,human_failed,A,2.4212,0.7471,0.0
52fd389e,pair3,human_success,human_failed,B,9.4298,-0.6946,0.0
54db823b,pair2,human_failed,codeit_failed,B,16.088,0.6833,0.0
54db823b,pair3,human_success,human_failed,B,23.6782,-0.8042,0.0
55059096,pair3,human_success,human_failed,B,104.9866,-0.6068,0.0
551d5bf1,pair3,human_success,human_failed,B,15.1372,-0.8752,0.0
55783887,pair2,human_failed,codeit_failed,B,3.2462,-0.9262,0.0
55783887,pair3,human_success,human_failed,B,35.8318,-0.626,0.0
575b1a71,pair3,human_success,human_failed,B,51.714,0.7529,0.0
5833af48,pair3,human_success,human_failed,A,5.6635,0.8283,0.0
58743b76,pair3,human_success,human_failed,B,13.5862,0.9994,0.0
58e15b12,pair3,human_success,human_failed,B,6.4557,0.6632,0.0
59341089,pair1,human_success,codeit_success,A,3.9145,0.7094,0.0
59341089,pair2,human_failed,codeit_failed,A,2.609,0.1782,0.076161
59341089,pair3,human_success,human_failed,A,3.0162,0.5947,0.0
59341089,pair4,codeit_success,codeit_failed,A,0.3847,0.9906,0.0
5af49b42,pair3,human_success,human_failed,B,134.7015,-0.6194,0.0
5b692c0f,pair3,human_success,human_failed,B,15.6084,-0.9528,0.0
5b6cbef5,pair3,human_success,human_failed,A,2.782,0.8194,0.0
5d2a5c43,pair1,human_success,codeit_success,A,2.4815,0.749,0.0
5d2a5c43,pair2,human_failed,codeit_failed,A,2.9232,0.8198,0.0
5d2a5c43,pair3,human_success,human_failed,A,2.3791,0.5824,0.0
5d2a5c43,pair4,codeit_success,codeit_failed,A,2.2744,0.8342,0.0
5ffb2104,pair3,human_success,human_failed,B,6.0204,0.8589,0.0
604001fa,pair2,human_failed,codeit_failed,B,1.8697,0.952,0.0
604001fa,pair3,human_success,human_failed,B,4.9932,0.8288,0.0
60a26a3e,pair3,human_success,human_failed,B,126.8598,-0.2646,0.007804
60c09cac,pair1,human_success,codeit_success,A,6.4101,0.4789,0.0
60c09cac,pair2,human_failed,codeit_failed,A,2.0576,0.865,0.0
60c09cac,pair3,human_success,human_failed,A,6.1819,0.8299,0.0
60c09cac,pair4,codeit_success,codeit_failed,A,1.0474,0.9452,0.0
626c0bcc,pair3,human_success,human_failed,B,7.2509,0.4318,7e-06
62ab2642,pair1,human_success,codeit_success,B,10.7129,0.7221,0.0
62ab2642,pair2,human_failed,codeit_failed,B,13.7184,0.4552,2e-06
62ab2642,pair3,human_success,human_failed,B,11.3755,0.3027,0.002207
62ab2642,pair4,codeit_success,codeit_failed,B,5.5016,0.4372,5e-06
62b74c02,pair3,human_success,human_failed,B,7.2621,-0.9899,0.0
639f5a19,pair3,human_success,human_failed,B,6.7426,-0.9991,0.0
642248e4,pair3,human_success,human_failed,B,47.6465,-0.3118,0.00159
642d658d,pair1,human_success,codeit_success,A,2.0309,0.8711,0.0
642d658d,pair2,human_failed,codeit_failed,A,0.0,,
642d658d,pair3,human_success,human_failed,A,2.9592,,
642d658d,pair4,codeit_success,codeit_failed,A,4.1236,,
64a7c07e,pair2,human_failed,codeit_failed,B,1.2171,-0.4919,0.0
64a7c07e,pair3,human_success,human_failed,B,6.1542,-0.039,0.699777
66e6c45b,pair3,human_success,human_failed,B,11.126,-0.9379,0.0
66f2d22f,pair1,human_success,codeit_success,A,5.173,0.5933,0.0
66f2d22f,pair3,human_success,human_failed,A,7.7599,,
67636eac,pair3,human_success,human_failed,A,5.9658,,
67b4a34d,pair1,human_success,codeit_success,A,2.5142,0.8872,0.0
67b4a34d,pair2,human_failed,codeit_failed,A,2.8591,0.4948,0.0
67b4a34d,pair3,human_success,human_failed,A,4.5728,0.4428,4e-06
67b4a34d,pair4,codeit_success,codeit_failed,A,2.6574,0.5206,0.0
67c52801,pair3,human_success,human_failed,B,19.7714,-0.8676,0.0
68b67ca3,pair1,human_success,codeit_success,A,4.2655,0.7608,0.0
68b67ca3,pair2,human_failed,codeit_failed,A,3.5901,,
68b67ca3,pair3,human_success,human_failed,A,6.1182,,
68b67ca3,pair4,codeit_success,codeit_failed,A,1.1489,0.9369,0.0
695367ec,pair3,human_success,human_failed,A,5.274,0.6931,0.0
696d4842,pair3,human_success,human_failed,B,52.99,0.5332,0.0
69889d6e,pair3,human_success,human_failed,B,12.5779,0.6703,0.0
6a11f6da,pair3,human_success,human_failed,A,1.7681,0.8703,0.0
6ad5bdfd,pair3,human_success,human_failed,B,11.6294,-0.7921,0.0
6df30ad6,pair1,human_success,codeit_success,B,4.1105,0.7106,0.0
6df30ad6,pair2,human_failed,codeit_failed,B,6.3815,-0.2775,0.005189
6df30ad6,pair3,human_success,human_failed,B,8.8311,-0.1524,0.129985
6df30ad6,pair4,codeit_success,codeit_failed,B,2.3757,0.7233,0.0
6ea4a07e,pair1,human_success,codeit_success,A,0.576,0.9739,0.0
6ea4a07e,pair2,human_failed,codeit_failed,A,3.8463,0.6381,0.0
6ea4a07e,pair3,human_success,human_failed,A,5.7549,0.9351,0.0
6ea4a07e,pair4,codeit_success,codeit_failed,A,2.4824,0.7907,0.0
6f473927,pair3,human_success,human_failed,A,5.4,0.6895,0.0
7039b2d7,pair1,human_success,codeit_success,A,0.6872,0.9849,0.0
7039b2d7,pair2,human_failed,codeit_failed,A,0.0,,
7039b2d7,pair3,human_success,human_failed,A,3.7379,,
7039b2d7,pair4,codeit_success,codeit_failed,A,3.392,,
705a3229,pair2,human_failed,codeit_failed,B,1.7182,-0.2631,0.00817
705a3229,pair3,human_success,human_failed,B,13.9557,-0.274,0.005815
712bf12e,pair3,human_success,human_failed,B,10.1347,-0.867,0.0
72207abc,pair3,human_success,human_failed,B,35.3378,,
72a961c9,pair3,human_success,human_failed,B,15.1173,0.6593,0.0
73182012,pair3,human_success,human_failed,A,5.9527,,
73c3b0d8,pair2,human_failed,codeit_failed,B,1.8376,-0.4905,0.0
73c3b0d8,pair3,human_success,human_failed,B,28.832,-0.4407,4e-06
73ccf9c2,pair2,human_failed,codeit_failed,A,0.0,,
73ccf9c2,pair3,human_success,human_failed,A,6.4363,,
759f3fd3,pair3,human_success,human_failed,B,3.1108,0.7018,0.0
762cd429,pair3,human_success,human_failed,B,2.8814,0.3126,0.001543
770cc55f,pair3,human_success,human_failed,B,13.5267,-0.7958,0.0
782b5218,pair3,human_success,human_failed,B,10.7145,-0.8615,0.0
79369cc6,pair3,human_success,human_failed,B,23.3639,-0.4456,3e-06
7953d61e,pair1,human_success,codeit_success,A,5.7079,0.4927,0.0
7953d61e,pair3,human_success,human_failed,A,2.9099,0.9284,0.0
7bb29440,pair1,human_success,codeit_success,A,2.8937,0.749,0.0
7bb29440,pair2,human_failed,codeit_failed,A,0.0,,
7bb29440,pair3,human_success,human_failed,A,5.4483,,
7bb29440,pair4,codeit_success,codeit_failed,A,5.6702,,
7c8af763,pair3,human_success,human_failed,B,4.8125,0.8021,0.0
7c9b52a0,pair3,human_success,human_failed,A,5.8433,,
7d18a6fb,pair3,human_success,human_failed,A,7.1297,,
7d1f7ee8,pair2,human_failed,codeit_failed,B,40.5813,0.8517,0.0
7d1f7ee8,pair3,human_success,human_failed,B,53.589,-0.9202,0.0
7d419a02,pair3,human_success,human_failed,B,6.9505,-0.7968,0.0
7e02026e,pair3,human_success,human_failed,B,13.4342,0.6447,0.0
7ee1c6ea,pair3,human_success,human_failed,B,9.3723,-0.7745,0.0
817e6c09,pair2,human_failed,codeit_failed,B,20.0243,-0.5212,0.0
817e6c09,pair3,human_success,human_failed,B,10.2401,-0.7372,0.0
833dafe3,pair1,human_success,codeit_success,A,7.2774,0.3686,0.000161
833dafe3,pair2,human_failed,codeit_failed,A,2.0382,,
833dafe3,pair3,human_success,human_failed,A,7.8397,,
833dafe3,pair4,codeit_success,codeit_failed,A,0.2493,0.9941,0.0
845d6e51,pair3,human_success,human_failed,B,10.0843,,
84db8fc4,pair1,human_success,codeit_success,B,6.3281,0.9514,0.0
84db8fc4,pair2,human_failed,codeit_failed,B,2.4521,0.9333,0.0
84db8fc4,pair3,human_success,human_failed,B,5.2776,0.6534,0.0
84db8fc4,pair4,codeit_success,codeit_failed,B,2.7295,0.5843,0.0
84f2aca1,pair1,human_success,codeit_success,B,58.2535,0.6117,0.0
84f2aca1,pair2,human_failed,codeit_failed,B,24.3995,-0.7793,0.0
84f2aca1,pair3,human_success,human_failed,B,62.9252,-0.6418,0.0
84f2aca1,pair4,codeit_success,codeit_failed,B,4.2038,0.8554,0.0
8597cfd7,pair1,human_success,codeit_success,A,0.5427,0.9924,0.0
8597cfd7,pair2,human_failed,codeit_failed,A,0.0,,
8597cfd7,pair3,human_success,human_failed,A,4.4,,
8597cfd7,pair4,codeit_success,codeit_failed,A,4.1236,,
85b81ff1,pair3,human_success,human_failed,B,11.6083,0.6628,0.0
85fa5666,pair3,human_success,human_failed,B,32.3389,-0.7225,0.0
88207623,pair3,human_success,human_failed,B,15.8136,-0.5626,0.0
891232d6,pair3,human_success,human_failed,B,10.0585,-0.4523,2e-06
896d5239,pair3,human_success,human_failed,B,21.7504,0.8195,0.0
8a371977,pair3,human_success,human_failed,B,15.3497,-0.8852,0.0
8b28cd80,pair3,human_success,human_failed,A,2.4524,0.9467,0.0
8ba14f53,pair3,human_success,human_failed,A,4.0334,0.9682,0.0
8dae5dfc,pair3,human_success,human_failed,B,5.1908,0.4534,2e-06
8e2edd66,pair1,human_success,codeit_success,A,6.9604,0.4446,4e-06
8e2edd66,pair2,human_failed,codeit_failed,A,6.1797,0.0654,0.518021
8e2edd66,pair3,human_success,human_failed,A,1.5051,0.8527,0.0
8e2edd66,pair4,codeit_success,codeit_failed,A,1.4988,0.971,0.0
8ee62060,pair3,human_success,human_failed,B,6.5344,-0.4498,3e-06
8fbca751,pair2,human_failed,codeit_failed,B,11.6032,-0.2973,0.002667
8fbca751,pair3,human_success,human_failed,B,9.4881,-0.7881,0.0
90347967,pair2,human_failed,codeit_failed,B,0.8352,0.5758,0.0
90347967,pair3,human_success,human_failed,B,9.3554,-0.4639,1e-06
903d1b4a,pair3,human_success,human_failed,B,20.6148,-0.5368,0.0
917bccba,pair3,human_success,human_failed,B,10.7691,-0.279,0.004934
929ab4e9,pair1,human_success,codeit_success,B,79.8268,0.4617,1e-06
929ab4e9,pair2,human_failed,codeit_failed,B,6.5533,-0.5089,0.0
929ab4e9,pair3,human_success,human_failed,B,75.3798,-0.634,0.0
929ab4e9,pair4,codeit_success,codeit_failed,B,1.0468,0.985,0.0
92e50de0,pair3,human_success,human_failed,B,3.561,0.1076,0.286657
9356391f,pair3,human_success,human_failed,B,10.856,-0.7927,0.0
93b4f4b3,pair3,human_success,human_failed,A,4.6461,,
93c31fbe,pair3,human_success,human_failed,B,13.9003,-0.4784,0.0
94133066,pair1,human_success,codeit_success,A,4.9783,0.5952,0.0
94133066,pair2,human_failed,codeit_failed,A,2.5253,,
94133066,pair3,human_success,human_failed,A,7.6716,,
94133066,pair4,codeit_success,codeit_failed,A,3.1814,0.798,0.0
94414823,pair3,human_success,human_failed,B,25.0703,-0.6777,0.0
94be5b80,pair3,human_success,human_failed,B,29.1097,-0.6912,0.0
95a58926,pair3,human_success,human_failed,B,44.8977,-0.7377,0.0
963f59bc,pair3,human_success,human_failed,B,103.503,-0.5553,0.0
96a8c0cd,pair3,human_success,human_failed,B,19.0871,-0.6931,0.0
97239e3d,pair3,human_success,human_failed,B,6.2561,0.4062,2.8e-05
9772c176,pair3,human_success,human_failed,B,28.7881,-0.4893,0.0
981571dc,pair3,human_success,human_failed,B,25.55,0.4156,1.7e-05
992798f6,pair3,human_success,human_failed,B,46.9841,-0.4825,0.0
99306f82,pair2,human_failed,codeit_failed,B,3.0037,-0.1521,0.130997
99306f82,pair3,human_success,human_failed,B,5.3392,-0.2075,0.03833
9a4bb226,pair1,human_success,codeit_success,A,1.2131,0.9657,0.0
9a4bb226,pair2,human_failed,codeit_failed,A,4.2372,,
9a4bb226,pair3,human_success,human_failed,A,5.4314,,
9a4bb226,pair4,codeit_success,codeit_failed,A,3.1941,0.5826,0.0
9b2a60aa,pair3,human_success,human_failed,B,22.8702,-0.7038,0.0
9b365c51,pair3,human_success,human_failed,B,3.2917,0.85,0.0
9b4c17c4,pair3,human_success,human_failed,B,5.7521,0.7269,0.0
9bebae7a,pair3,human_success,human_failed,B,9.5774,-0.6806,0.0
9c1e755f,pair3,human_success,human_failed,B,2.4826,0.8579,0.0
9c56f360,pair3,human_success,human_failed,B,13.1941,-0.873,0.0
9caba7c3,pair3,human_success,human_failed,B,17.3297,-0.5977,0.0
