task_id,difficulty_category,human_success_auc,codeit_success_auc,human_success_steps90,codeit_success_steps90,human_failed_auc,codeit_failed_auc,human_success_n,codeit_success_n,human_failed_n,codeit_failed_n
48f8583b,Hard for both,0.7440384642030733,0.13968529288394615,0.797979797979798,0.9797979797979799,0.42537798486171097,0.131288568437839,6,178,10,61
506d28a5,Only hard for humans,0.5227272727272728,0.39751045811651875,0.8181818181818182,0.9191919191919192,0.4582070707070708,,3,693,4,0
59341089,Only hard for AI,0.43396648868029347,0.07147229874502611,0.9090909090909092,0.98989898989899,0.2777777777777778,0.16664966159915662,9,532,2,1
5d2a5c43,Hard for both,0.5816073189810563,0.42741386933306136,0.9393939393939394,0.9393939393939394,0.4933744005713702,0.333346087133966,2,268,6,1
60c09cac,Only hard for humans,0.7702928272625243,0.5000000000000001,0.7373737373737375,0.9090909090909092,0.26863024181205997,0.21962860932557907,5,656,4,5
62ab2642,Only hard for AI,-0.060869639152467646,0.7777777777777776,0.9090909090909092,0.4747474747474748,-0.49186307519640904,0.6944444444444446,5,96,1,46
642d658d,Easy for both,0.16666666666666677,0.4083256810529538,0.9696969696969697,0.9090909090909092,0.0,0.0,5,20,1,153
66f2d22f,Only hard for humans,0.8672302024574753,0.33274665850423435,0.4747474747474748,0.9393939393939394,0.0,,4,534,7,0
67b4a34d,Only hard for humans,0.41314342924191416,0.30002040608101216,0.9090909090909092,0.787878787878788,0.07293101469237834,0.13125892766044284,4,633,4,20
68b67ca3,Easy for both,0.6111111111111114,0.5000000000000001,0.8787878787878789,0.9090909090909092,0.0,0.7221938804430386,10,623,2,10
6df30ad6,Easy for both,0.5495684113865933,0.21075604530149994,0.8282828282828284,0.9696969696969697,0.11950923375165798,0.1884073053770024,12,408,2,431
7039b2d7,Only hard for AI,0.31227085671530125,0.5000000000000001,0.9393939393939394,0.9090909090909092,0.0,0.0,8,115,4,288
7953d61e,Hard for both,0.5998048668503213,0.04178145087236006,0.8787878787878789,1.0,0.44687484057749216,,3,267,8,0
7bb29440,Easy for both,0.41693874774682865,0.5000000000000001,0.8080808080808082,0.9090909090909092,0.0,0.0,5,15,2,462
833dafe3,Only hard for AI,0.7683184432710949,0.07147229874502611,0.787878787878788,0.98989898989899,0.0,0.05868342516069795,9,237,1,3
84db8fc4,Hard for both,0.25385091900243417,0.6648811345781042,0.9393939393939394,0.8181818181818182,0.3158336612882067,0.5749748567930387,2,870,4,21
84f2aca1,Easy for both,-0.8948795312431694,0.6428571428571425,0.9191919191919192,0.6161616161616162,-3.9976059294241173,0.3392802483711566,7,642,2,185
8597cfd7,Easy for both,0.5000000000000001,0.5000000000000001,0.9090909090909092,0.9090909090909092,0.0,0.0,11,311,1,273
8fbca751,Only hard for AI,0.4255769819406182,0.06000000000000008,0.9090909090909092,0.9393939393939394,-0.5200000000000001,0.38000000000000006,8,75,2,204
903d1b4a,Only hard for AI,0.20470870319355183,0.40000000000000013,0.9090909090909092,0.9494949494949496,-0.24999999999999994,,15,1,3,0
929ab4e9,Hard for both,-6.910442039000355,0.5170947305933534,0.98989898989899,0.6161616161616162,-0.043607176756855964,0.6009405348248321,2,100,6,237
94133066,Hard for both,0.6678086223540769,0.25002550760126524,0.5353535353535354,0.9595959595959597,0.0,,2,244,6,0
9a4bb226,Easy for both,0.4992177668945346,0.5000000000000001,0.9191919191919192,0.9090909090909092,0.0,0.1666666666666667,7,15,3,803
9b4c17c4,Only hard for AI,-4.0625,-2.0080348943985307,,1.0,-4.0625,,5,18,1,0
ae58858e,Only hard for AI,-0.26616331666836707,0.5000000000000001,0.9595959595959597,0.9090909090909092,0.0,0.33333333333333337,7,241,3,182
bc4146bd,Hard for both,0.4968243036424856,0.08467503315988174,0.8787878787878789,0.98989898989899,0.09125918273645549,,5,173,7,0
be03b35f,Only hard for AI,0.40001020304050616,0.12503826140189786,0.9292929292929294,0.9797979797979799,0.37501275380063265,0.08333333333333338,7,524,3,9
cd3c21df,Easy for both,0.4285787164575045,0.5000000000000001,0.9191919191919192,0.9090909090909092,0.0,0.0,11,71,1,634
d19f7514,Hard for both,0.6209294119647656,0.4322985749753428,0.8383838383838385,0.888888888888889,0.49008392000816253,0.516599071523314,4,554,9,4
d4b1c2b1,Only hard for humans,0.29525422575927635,0.25002550760126524,0.9696969696969697,0.9595959595959597,0.0,0.0,6,204,6,157
e0fb7511,Only hard for AI,0.0556019330124015,0.5000000000000001,0.9292929292929294,0.9090909090909092,0.3030303030303031,0.3787878787878788,7,510,3,14
e133d23d,Only hard for humans,0.599683705744312,0.38890022560056237,0.888888888888889,0.9191919191919192,0.13700416057318415,0.3324320647552971,6,589,4,120
e345f17b,Only hard for humans,0.6875573921028467,0.450005101520253,0.4040404040404041,0.8484848484848485,0.5727970997857362,0.2890553259871443,5,761,4,2
e66aafb8,Easy for both,0.5000000000000001,0.3606094616195627,0.9090909090909092,0.787878787878788,0.14020678162092304,0.2609597660102711,10,672,3,84
e7639916,Only hard for AI,0.2789099861436126,0.5000000000000001,0.9191919191919192,0.9090909090909092,-4.870967741935487,-0.33872448828460616,8,588,3,139
e872b94a,Only hard for humans,0.5000000000000001,0.4166921742679319,0.9090909090909092,0.9696969696969697,0.0,0.0,9,2,6,288
ed74f2f2,Hard for both,0.6111111111111114,0.07147229874502611,0.8787878787878789,0.98989898989899,0.06094616195626296,0.0,7,152,4,547
ed98d772,Only hard for humans,0.6761073133127008,0.04545454545454549,0.8484848484848485,1.0,0.6045188132730221,0.04735911301567876,3,294,7,312
f0df5ff0,Easy for both,0.43504257450538464,0.25002550760126524,0.9090909090909092,0.9595959595959597,-0.04511251171030769,-0.22833245216165315,7,685,2,15
f4081712,Easy for both,0.4527301635887495,0.30002040608101216,0.9191919191919192,0.787878787878788,0.0,0.16397561473319053,8,563,4,126
f5aa3634,Easy for both,0.3978675645342313,0.7499744923987347,0.8989898989898991,0.4545454545454546,0.0,0.0,12,179,2,423
