task_id,difficulty_category,pair,l2_distance,pearson_r,pearson_p,n_a,n_b
7bb29440,Easy for both,human_success_vs_codeit_success,1.7222,0.9539,0.0,5,15
7bb29440,Easy for both,human_failed_vs_codeit_failed,0.0,,,2,462
7bb29440,Easy for both,human_success_vs_human_failed,5.795,,,5,2
7bb29440,Easy for both,codeit_success_vs_codeit_failed,5.7881,,,15,462
833dafe3,Only hard for AI,human_success_vs_codeit_success,7.2381,0.4065,0.0,9,237
833dafe3,Only hard for AI,human_failed_vs_codeit_failed,2.0191,,,1,3
833dafe3,Only hard for AI,human_success_vs_human_failed,7.8727,,,9,1
833dafe3,Only hard for AI,codeit_success_vs_codeit_failed,0.351,0.994,0.0,237,3
84db8fc4,Hard for both,human_success_vs_codeit_success,4.8343,0.8681,0.0,2,870
84db8fc4,Hard for both,human_failed_vs_codeit_failed,2.911,0.8248,0.0,4,21
84db8fc4,Hard for both,human_success_vs_human_failed,4.203,0.3536,0.0003,2,4
84db8fc4,Hard for both,codeit_success_vs_codeit_failed,1.5551,0.8417,0.0,870,21
84f2aca1,Easy for both,human_success_vs_codeit_success,46.0521,0.6055,0.0,7,642
84f2aca1,Easy for both,human_failed_vs_codeit_failed,43.4003,-0.7291,0.0,2,185
84f2aca1,Easy for both,human_success_vs_human_failed,54.4128,-0.636,0.0,7,2
84f2aca1,Easy for both,codeit_success_vs_codeit_failed,3.629,0.9642,0.0,642,185
8597cfd7,Easy for both,human_success_vs_codeit_success,0.0,1.0,0.0,11,311
8597cfd7,Easy for both,human_failed_vs_codeit_failed,0.0,,,1,273
8597cfd7,Easy for both,human_success_vs_human_failed,5.7881,,,11,1
8597cfd7,Easy for both,codeit_success_vs_codeit_failed,5.7881,,,311,273
8fbca751,Only hard for AI,human_success_vs_codeit_success,6.695,0.4842,0.0,8,75
8fbca751,Only hard for AI,human_failed_vs_codeit_failed,9.2688,,,2,204
8fbca751,Only hard for AI,human_success_vs_human_failed,10.8058,,,8,2
8fbca751,Only hard for AI,codeit_success_vs_codeit_failed,5.1819,0.8385,0.0,75,204
903d1b4a,Only hard for AI,human_success_vs_codeit_success,16.923,0.4533,0.0,15,1
903d1b4a,Only hard for AI,human_success_vs_human_failed,18.1453,,,15,3
929ab4e9,Hard for both,human_success_vs_codeit_success,79.465,0.5414,0.0,2,100
929ab4e9,Hard for both,human_failed_vs_codeit_failed,7.33,0.0051,0.9596,6,237
929ab4e9,Hard for both,human_success_vs_human_failed,75.0787,-0.263,0.0082,2,6
929ab4e9,Hard for both,codeit_success_vs_codeit_failed,2.2373,0.8673,0.0,100,237
94133066,Hard for both,human_success_vs_codeit_success,5.4062,0.5689,0.0,2,244
94133066,Hard for both,human_success_vs_human_failed,7.8092,,,2,6
9a4bb226,Easy for both,human_success_vs_codeit_success,0.1721,0.9984,0.0,7,15
9a4bb226,Easy for both,human_failed_vs_codeit_failed,2.2778,,,3,803
9a4bb226,Easy for both,human_success_vs_human_failed,5.7572,,,7,3
9a4bb226,Easy for both,codeit_success_vs_codeit_failed,3.7036,0.9175,0.0,15,803
9b4c17c4,Only hard for AI,human_success_vs_codeit_success,24.7168,,,5,18
9b4c17c4,Only hard for AI,human_success_vs_human_failed,0.0,,,5,1
ae58858e,Only hard for AI,human_success_vs_codeit_success,12.9923,0.8135,0.0,7,241
ae58858e,Only hard for AI,human_failed_vs_codeit_failed,3.8587,,,3,182
ae58858e,Only hard for AI,human_success_vs_human_failed,12.9288,,,7,3
ae58858e,Only hard for AI,codeit_success_vs_codeit_failed,1.9294,1.0,0.0,241,182
bc4146bd,Hard for both,human_success_vs_codeit_success,4.9018,0.5568,0.0,5,173
bc4146bd,Hard for both,human_success_vs_human_failed,4.837,0.9625,0.0,5,7
be03b35f,Only hard for AI,human_success_vs_codeit_success,3.5324,0.7332,0.0,7,524
be03b35f,Only hard for AI,human_failed_vs_codeit_failed,3.1592,0.5552,0.0,3,9
be03b35f,Only hard for AI,human_success_vs_human_failed,3.3068,0.0999,0.3228,7,3
be03b35f,Only hard for AI,codeit_success_vs_codeit_failed,1.3586,0.9716,0.0,524,9
cd3c21df,Easy for both,human_success_vs_codeit_success,0.8207,0.9956,0.0,11,71
cd3c21df,Easy for both,human_failed_vs_codeit_failed,0.0,,,1,634
cd3c21df,Easy for both,human_success_vs_human_failed,5.3654,,,11,1
cd3c21df,Easy for both,codeit_success_vs_codeit_failed,5.7881,,,71,634
d19f7514,Hard for both,human_success_vs_codeit_success,2.4604,0.865,0.0,4,554
d19f7514,Hard for both,human_failed_vs_codeit_failed,3.5301,0.0995,0.3247,9,4
d19f7514,Hard for both,human_success_vs_human_failed,3.487,-0.1192,0.2374,4,9
d19f7514,Hard for both,codeit_success_vs_codeit_failed,1.6674,0.9054,0.0,554,4
d4b1c2b1,Only hard for humans,human_success_vs_codeit_success,0.744,0.9852,0.0,6,204
d4b1c2b1,Only hard for humans,human_failed_vs_codeit_failed,0.0,,,6,157
d4b1c2b1,Only hard for humans,human_success_vs_human_failed,4.2292,,,6,6
d4b1c2b1,Only hard for humans,codeit_success_vs_codeit_failed,4.1235,,,204,157
e0fb7511,Only hard for AI,human_success_vs_codeit_success,8.971,0.7597,0.0,7,510
e0fb7511,Only hard for AI,human_failed_vs_codeit_failed,2.503,-1.0,0.0,3,14
e0fb7511,Only hard for AI,human_success_vs_human_failed,10.1594,-0.7597,0.0,7,3
e0fb7511,Only hard for AI,codeit_success_vs_codeit_failed,1.4032,1.0,0.0,510,14
e133d23d,Only hard for humans,human_success_vs_codeit_success,2.4274,0.9278,0.0,6,589
e133d23d,Only hard for humans,human_failed_vs_codeit_failed,3.2007,-0.1734,0.0844,4,120
e133d23d,Only hard for humans,human_success_vs_human_failed,5.1614,-0.0112,0.9119,6,4
e133d23d,Only hard for humans,codeit_success_vs_codeit_failed,0.9935,0.9774,0.0,589,120
e345f17b,Only hard for humans,human_success_vs_codeit_success,4.0651,0.5372,0.0,5,761
e345f17b,Only hard for humans,human_failed_vs_codeit_failed,3.24,0.5618,0.0,4,2
e345f17b,Only hard for humans,human_success_vs_human_failed,3.0244,0.6818,0.0,5,4
e345f17b,Only hard for humans,codeit_success_vs_codeit_failed,2.6332,0.8753,0.0,761,2
e66aafb8,Easy for both,human_success_vs_codeit_success,2.4185,0.9106,0.0,10,672
e66aafb8,Easy for both,human_failed_vs_codeit_failed,2.9208,0.794,0.0,3,84
e66aafb8,Easy for both,human_success_vs_human_failed,4.3102,0.8382,0.0,10,3
e66aafb8,Easy for both,codeit_success_vs_codeit_failed,3.5482,0.614,0.0,672,84
e7639916,Only hard for AI,human_success_vs_codeit_success,8.1037,0.654,0.0,8,588
e7639916,Only hard for AI,human_failed_vs_codeit_failed,45.4036,,,3,139
e7639916,Only hard for AI,human_success_vs_human_failed,52.1167,,,8,3
e7639916,Only hard for AI,codeit_success_vs_codeit_failed,10.209,-0.9578,0.0,588,139
e872b94a,Only hard for humans,human_success_vs_codeit_success,1.3537,0.9458,0.0,9,2
e872b94a,Only hard for humans,human_failed_vs_codeit_failed,0.0,,,6,288
e872b94a,Only hard for humans,human_success_vs_human_failed,5.7881,,,9,6
e872b94a,Only hard for humans,codeit_success_vs_codeit_failed,4.744,,,2,288
ed74f2f2,Hard for both,human_success_vs_codeit_success,5.752,0.5489,0.0,7,152
ed74f2f2,Hard for both,human_failed_vs_codeit_failed,0.6481,,,4,547
ed74f2f2,Hard for both,human_success_vs_human_failed,5.9626,-0.1645,0.1019,7,4
ed74f2f2,Hard for both,codeit_success_vs_codeit_failed,2.286,,,152,547
ed98d772,Only hard for humans,human_success_vs_codeit_success,6.685,0.363,0.0002,3,294
ed98d772,Only hard for humans,human_failed_vs_codeit_failed,5.7783,0.1442,0.1522,7,312
ed98d772,Only hard for humans,human_success_vs_human_failed,2.563,-0.2026,0.0432,3,7
ed98d772,Only hard for humans,codeit_success_vs_codeit_failed,0.3321,0.985,0.0,294,312
f0df5ff0,Easy for both,human_success_vs_codeit_success,5.4181,0.524,0.0,7,685
f0df5ff0,Easy for both,human_failed_vs_codeit_failed,5.0667,-0.4452,0.0,2,15
f0df5ff0,Easy for both,human_success_vs_human_failed,6.6868,0.6235,0.0,7,2
f0df5ff0,Easy for both,codeit_success_vs_codeit_failed,5.9708,-0.1237,0.22,685,15
f4081712,Easy for both,human_success_vs_codeit_success,2.6716,0.8618,0.0,8,563
f4081712,Easy for both,human_failed_vs_codeit_failed,2.6671,,,4,126
f4081712,Easy for both,human_success_vs_human_failed,5.4944,,,8,4
f4081712,Easy for both,codeit_success_vs_codeit_failed,2.573,0.9861,0.0,563,126
f5aa3634,Easy for both,human_success_vs_codeit_success,4.1224,0.8085,0.0,12,179
f5aa3634,Easy for both,human_failed_vs_codeit_failed,0.0,,,2,423
f5aa3634,Easy for both,human_success_vs_human_failed,5.4502,,,12,2
f5aa3634,Easy for both,codeit_success_vs_codeit_failed,8.1546,,,179,423
