task_id,pair,group1,group2,baseline_group,dtw_medoid,n1,n2,len_medoid1,len_medoid2
3b4c2228,pair1,human_success,codeit_success,A,1.6667,3,75,5,5
3b4c2228,pair2,human_failed,codeit_failed,A,4.6667,1,206,11,8
3b4c2228,pair3,human_success,human_failed,A,1.8889,3,1,5,11
3b4c2228,pair4,codeit_success,codeit_failed,A,0.1111,75,206,5,8
3ed85e70,pair3,human_success,human_failed,B,3.1538,3,3,11,10
40f6cd08,pair3,human_success,human_failed,B,53.4889,3,1,245,5
414297c0,pair3,human_success,human_failed,A,8.1926,7,1,32,11
423a55dc,pair3,human_success,human_failed,B,25.2593,2,2,30,26
42918530,pair2,human_failed,codeit_failed,B,52.1786,2,64,12,7
42918530,pair3,human_success,human_failed,B,21.7143,8,2,38,12
4364c1c4,pair3,human_success,human_failed,B,14.25,5,5,22,7
456873bc,pair3,human_success,human_failed,B,33.2738,3,1,29,16
45bbe264,pair2,human_failed,codeit_failed,B,10.2564,1,1,47,5
45bbe264,pair3,human_success,human_failed,B,7.8461,10,1,14,47
477d2879,pair2,human_failed,codeit_failed,B,4.1595,1,3,61,6
477d2879,pair3,human_success,human_failed,B,6.6687,7,1,8,61
47996f11,pair3,human_success,human_failed,B,65.3943,1,3,169,11
48131b3c,pair1,human_success,codeit_success,A,5.3594,6,44,26,5
48131b3c,pair2,human_failed,codeit_failed,A,1.0,4,93,5,6
48131b3c,pair3,human_success,human_failed,A,7.5156,6,4,26,5
48131b3c,pair4,codeit_success,codeit_failed,A,1.0,44,93,5,6
4852f2fa,pair2,human_failed,codeit_failed,A,1.0,2,349,20,5
4852f2fa,pair3,human_success,human_failed,A,14.3333,4,2,5,20
48f8583b,pair1,human_success,codeit_success,A,3.321,6,149,26,7
48f8583b,pair2,human_failed,codeit_failed,A,2.4691,7,66,10,8
48f8583b,pair3,human_success,human_failed,A,10.6296,6,7,26,10
48f8583b,pair4,codeit_success,codeit_failed,A,0.0988,149,66,7,8
4acc7107,pair3,human_success,human_failed,B,16.2558,7,5,26,5
4b6b68e5,pair3,human_success,human_failed,B,26.9333,12,2,29,5
4c177718,pair3,human_success,human_failed,A,11.5111,7,4,14,6
4e45f183,pair3,human_success,human_failed,B,11.1833,8,2,19,10
4e469f39,pair3,human_success,human_failed,B,34.6,12,2,27,96
4ff4c9da,pair3,human_success,human_failed,B,2.8334,1,3,39,13
505fff84,pair2,human_failed,codeit_failed,A,0.0,2,1,8,6
505fff84,pair3,human_success,human_failed,A,8.2,4,2,12,8
506d28a5,pair1,human_success,codeit_success,A,0.75,3,117,11,6
506d28a5,pair2,human_failed,codeit_failed,A,6.85,1,6,34,7
506d28a5,pair3,human_success,human_failed,A,7.85,3,1,11,34
506d28a5,pair4,codeit_success,codeit_failed,A,0.15,117,6,6,7
50a16a69,pair3,human_success,human_failed,A,18.5,5,2,39,17
50aad11f,pair3,human_success,human_failed,A,19.6875,6,2,31,12
50f325b5,pair3,human_success,human_failed,B,9.4999,1,2,14,9
516b51b7,pair3,human_success,human_failed,B,26.2174,6,1,71,15
5207a7b5,pair3,human_success,human_failed,B,133.762,4,3,52,10
5289ad53,pair3,human_success,human_failed,A,3.8333,4,1,12,23
54db823b,pair3,human_success,human_failed,B,26.0001,4,2,32,16
55059096,pair3,human_success,human_failed,B,33.3751,16,1,10,5
55783887,pair3,human_success,human_failed,B,72.4399,3,2,42,41
5833af48,pair3,human_success,human_failed,A,9.8646,1,4,97,30
58743b76,pair3,human_success,human_failed,B,2.6428,6,1,19,16
58e15b12,pair3,human_success,human_failed,B,37.4628,2,4,72,9
59341089,pair1,human_success,codeit_success,A,9.0,9,165,38,5
59341089,pair2,human_failed,codeit_failed,A,3.6111,1,18,5,7
59341089,pair3,human_success,human_failed,A,10.1667,9,1,38,5
59341089,pair4,codeit_success,codeit_failed,A,0.1667,165,18,5,7
5af49b42,pair3,human_success,human_failed,B,102.4436,6,1,42,13
5b6cbef5,pair3,human_success,human_failed,A,2.8516,6,4,11,16
5d2a5c43,pair1,human_success,codeit_success,A,1.4167,2,206,15,5
5d2a5c43,pair2,human_failed,codeit_failed,A,2.6667,4,3,5,5
5d2a5c43,pair3,human_success,human_failed,A,5.4583,2,4,15,5
5d2a5c43,pair4,codeit_success,codeit_failed,A,1.0833,206,3,5,5
5ffb2104,pair3,human_success,human_failed,B,27.8049,10,1,24,37
604001fa,pair2,human_failed,codeit_failed,B,1.975,4,213,9,5
604001fa,pair3,human_success,human_failed,B,11.0,5,4,42,9
60a26a3e,pair3,human_success,human_failed,B,150.5015,4,1,8,50
60c09cac,pair1,human_success,codeit_success,A,4.71,5,24,35,5
60c09cac,pair3,human_success,human_failed,A,7.85,5,1,35,25
626c0bcc,pair3,human_success,human_failed,B,10.8125,4,1,20,8
62ab2642,pair1,human_success,codeit_success,B,6.1667,4,1,14,5
62ab2642,pair2,human_failed,codeit_failed,B,19.4167,1,1,20,5
62ab2642,pair3,human_success,human_failed,B,14.0833,4,1,14,20
62ab2642,pair4,codeit_success,codeit_failed,B,10.6667,1,1,5,5
62b74c02,pair3,human_success,human_failed,B,30.3,10,2,35,6
639f5a19,pair3,human_success,human_failed,B,31.4322,7,2,31,38
642d658d,pair1,human_success,codeit_success,A,1.0,1,11,9,6
642d658d,pair4,codeit_success,codeit_failed,A,3.0,11,47,6,5
64a7c07e,pair2,human_failed,codeit_failed,B,1.4688,2,1,8,5
64a7c07e,pair3,human_success,human_failed,B,16.2813,5,2,19,8
66f2d22f,pair1,human_success,codeit_success,A,1.6429,2,141,18,6
66f2d22f,pair3,human_success,human_failed,A,13.2857,2,4,18,6
67636eac,pair3,human_success,human_failed,A,3.0556,12,1,6,31
67b4a34d,pair1,human_success,codeit_success,A,4.0,4,212,20,10
67b4a34d,pair2,human_failed,codeit_failed,A,3.0,2,29,19,5
67b4a34d,pair3,human_success,human_failed,A,7.125,4,2,20,19
67b4a34d,pair4,codeit_success,codeit_failed,A,0.25,212,29,10,5
68b67ca3,pair1,human_success,codeit_success,A,2.2222,9,15,8,5
68b67ca3,pair3,human_success,human_failed,A,5.5556,9,1,8,11
695367ec,pair3,human_success,human_failed,A,2.3378,5,3,9,15
6a11f6da,pair3,human_success,human_failed,A,3.2,7,2,26,21
6ad5bdfd,pair3,human_success,human_failed,B,49.9355,4,1,36,5
6df30ad6,pair1,human_success,codeit_success,B,7.44,10,77,15,7
6df30ad6,pair2,human_failed,codeit_failed,B,9.4,2,98,27,7
6df30ad6,pair3,human_success,human_failed,B,18.32,10,2,15,27
6df30ad6,pair4,codeit_success,codeit_failed,B,1.92,77,98,7,7
6ea4a07e,pair1,human_success,codeit_success,A,1.2222,8,38,5,5
6ea4a07e,pair2,human_failed,codeit_failed,A,2.1111,1,156,5,5
6ea4a07e,pair3,human_success,human_failed,A,3.3333,8,1,5,5
6ea4a07e,pair4,codeit_success,codeit_failed,A,0.8889,38,156,5,5
6f473927,pair3,human_success,human_failed,A,19.7708,7,1,63,19
705a3229,pair3,human_success,human_failed,B,24.8401,16,1,31,8
712bf12e,pair3,human_success,human_failed,B,30.9644,11,3,34,7
72207abc,pair3,human_success,human_failed,B,19.0001,5,1,16,8
72a961c9,pair3,human_success,human_failed,B,14.4286,8,1,18,9
73182012,pair3,human_success,human_failed,A,8.125,14,2,15,5
73c3b0d8,pair3,human_success,human_failed,B,13.8751,3,1,10,6
73ccf9c2,pair2,human_failed,codeit_failed,A,0.0,4,142,39,7
73ccf9c2,pair3,human_success,human_failed,A,16.1143,8,4,27,39
762cd429,pair3,human_success,human_failed,B,6.8006,8,2,20,15
770cc55f,pair3,human_success,human_failed,B,11.625,5,1,10,5
782b5218,pair3,human_success,human_failed,B,6.4,6,1,6,28
79369cc6,pair3,human_success,human_failed,B,10.2222,3,1,20,23
7953d61e,pair1,human_success,codeit_success,A,14.125,3,51,51,9
7953d61e,pair3,human_success,human_failed,A,11.0156,3,3,51,26
7bb29440,pair1,human_success,codeit_success,A,1.125,5,2,9,5
7bb29440,pair2,human_failed,codeit_failed,A,0.0,1,34,6,5
7bb29440,pair3,human_success,human_failed,A,3.5,5,1,9,6
7bb29440,pair4,codeit_success,codeit_failed,A,2.0,2,34,5,5
7c8af763,pair3,human_success,human_failed,B,35.4167,7,2,50,37
7c9b52a0,pair3,human_success,human_failed,A,7.8,13,2,15,42
7d419a02,pair3,human_success,human_failed,B,84.8417,2,2,69,6
7ee1c6ea,pair3,human_success,human_failed,B,25.2143,10,1,33,16
833dafe3,pair1,human_success,codeit_success,A,7.3203,9,270,34,6
833dafe3,pair4,codeit_success,codeit_failed,A,0.1094,270,10,6,7
84db8fc4,pair1,human_success,codeit_success,B,72.9429,1,23,105,6
84db8fc4,pair2,human_failed,codeit_failed,B,1.4571,3,4,14,5
84db8fc4,pair3,human_success,human_failed,B,102.1714,1,3,105,14
84db8fc4,pair4,codeit_success,codeit_failed,B,1.4571,23,4,6,5
84f2aca1,pair2,human_failed,codeit_failed,B,2.8571,1,17,16,6
84f2aca1,pair3,human_success,human_failed,B,25.9999,7,1,9,16
8597cfd7,pair1,human_success,codeit_success,A,1.0,8,29,5,6
8597cfd7,pair4,codeit_success,codeit_failed,A,3.0,29,25,6,6
85fa5666,pair3,human_success,human_failed,B,70.3125,4,3,21,8
88207623,pair3,human_success,human_failed,B,62.9259,7,1,31,43
891232d6,pair3,human_success,human_failed,B,15.9697,1,3,9,15
896d5239,pair3,human_success,human_failed,B,22.8399,6,2,27,5
8b28cd80,pair3,human_success,human_failed,A,4.7531,4,6,19,5
8ba14f53,pair3,human_success,human_failed,A,0.7778,7,1,6,10
8dae5dfc,pair3,human_success,human_failed,B,33.4396,5,1,69,43
8e2edd66,pair1,human_success,codeit_success,A,2.5802,4,27,29,8
8e2edd66,pair2,human_failed,codeit_failed,A,5.3333,10,23,10,8
8e2edd66,pair3,human_success,human_failed,A,4.679,4,10,29,10
8e2edd66,pair4,codeit_success,codeit_failed,A,0.8889,27,23,8,8
8ee62060,pair3,human_success,human_failed,B,12.8958,8,2,16,15
90347967,pair2,human_failed,codeit_failed,B,11.75,2,4,17,5
90347967,pair3,human_success,human_failed,B,10.5625,2,2,12,17
903d1b4a,pair3,human_success,human_failed,B,35.55,12,1,26,8
917bccba,pair3,human_success,human_failed,B,52.3333,10,2,39,98
929ab4e9,pair1,human_success,codeit_success,B,4292.7629,2,42,305,9
929ab4e9,pair2,human_failed,codeit_failed,B,20.8181,2,5,6,7
929ab4e9,pair3,human_success,human_failed,B,158.0294,2,2,305,6
929ab4e9,pair4,codeit_success,codeit_failed,B,0.3636,42,5,9,7
92e50de0,pair3,human_success,human_failed,B,22.0208,4,1,17,24
9356391f,pair3,human_success,human_failed,B,49.8125,5,1,66,42
93b4f4b3,pair3,human_success,human_failed,A,4.2235,6,1,7,8
93c31fbe,pair3,human_success,human_failed,B,747.8543,6,1,39,7
94133066,pair1,human_success,codeit_success,A,1.3154,2,5,27,6
94133066,pair2,human_failed,codeit_failed,A,1.8923,5,16,7,6
94133066,pair3,human_success,human_failed,A,17.6846,2,5,27,7
94133066,pair4,codeit_success,codeit_failed,A,0.1077,5,16,6,6
94414823,pair3,human_success,human_failed,B,140.625,13,2,28,5
95a58926,pair3,human_success,human_failed,B,579.1296,8,1,66,6
96a8c0cd,pair3,human_success,human_failed,B,65.6831,5,4,43,11
97239e3d,pair3,human_success,human_failed,B,11.25,10,2,16,54
9772c176,pair3,human_success,human_failed,B,178.8214,3,2,40,7
992798f6,pair3,human_success,human_failed,B,28.5453,7,2,13,13
99306f82,pair2,human_failed,codeit_failed,B,0.9697,2,108,139,6
99306f82,pair3,human_success,human_failed,B,24.0758,7,2,51,139
9a4bb226,pair1,human_success,codeit_success,A,2.8889,6,8,12,6
9a4bb226,pair2,human_failed,codeit_failed,A,2.5556,2,246,9,6
9a4bb226,pair3,human_success,human_failed,A,6.3333,6,2,12,9
9a4bb226,pair4,codeit_success,codeit_failed,A,1.4444,8,246,6,6
9b2a60aa,pair3,human_success,human_failed,B,60.8334,7,2,30,13
9b365c51,pair3,human_success,human_failed,B,73.0532,4,2,41,13
9b4c17c4,pair3,human_success,human_failed,B,0.0,5,1,132,9
9bebae7a,pair3,human_success,human_failed,B,21.1334,8,2,17,6
9c1e755f,pair3,human_success,human_failed,B,11.2368,11,1,21,86
9c56f360,pair3,human_success,human_failed,B,44.2142,6,1,18,5
9caba7c3,pair3,human_success,human_failed,B,39.4232,2,1,30,27
9ddd00f0,pair3,human_success,human_failed,B,338.1187,8,1,163,43
9def23fe,pair3,human_success,human_failed,B,16.6754,4,3,23,19
9f27f097,pair3,human_success,human_failed,B,42.4168,6,1,38,14
a04b2602,pair3,human_success,human_failed,B,50.8963,9,1,108,15
a096bf4d,pair3,human_success,human_failed,B,76.1827,7,3,13,11
a3f84088,pair2,human_failed,codeit_failed,B,1.9658,1,281,6,6
a3f84088,pair3,human_success,human_failed,B,14.9438,3,1,27,6
a57f2f04,pair3,human_success,human_failed,B,65.3413,4,1,105,5
a59b95c0,pair1,human_success,codeit_success,A,4.0,7,1,19,6
a59b95c0,pair2,human_failed,codeit_failed,A,0.0,2,600,5,5
a59b95c0,pair3,human_success,human_failed,A,8.5,7,2,19,5
a59b95c0,pair4,codeit_success,codeit_failed,A,1.0,1,600,6,5
a680ac02,pair3,human_success,human_failed,A,23.125,8,1,88,9
a934301b,pair3,human_success,human_failed,B,20.0625,12,1,50,7
aa18de87,pair1,human_success,codeit_success,B,6.7692,6,73,15,6
aa18de87,pair2,human_failed,codeit_failed,B,8.1538,3,31,10,5
aa18de87,pair3,human_success,human_failed,B,5.1538,6,3,15,10
aa18de87,pair4,codeit_success,codeit_failed,B,1.3846,73,31,6,5
aa4ec2a5,pair3,human_success,human_failed,B,25.4463,10,1,61,8
aab50785,pair3,human_success,human_failed,A,13.2188,2,2,22,11
ac0c5833,pair3,human_success,human_failed,B,21.7756,8,2,33,8
ac2e8ecf,pair3,human_success,human_failed,B,29.3479,4,2,15,5
ac3e2b04,pair2,human_failed,codeit_failed,B,14.1,1,1,28,5
ac3e2b04,pair3,human_success,human_failed,B,14.7334,11,1,29,28
ac605cbb,pair3,human_success,human_failed,B,17.4737,4,2,22,9
ad7e01d0,pair2,human_failed,codeit_failed,A,8.888,8,108,11,7
ad7e01d0,pair3,human_success,human_failed,A,7.112,4,8,78,11
ae58858e,pair2,human_failed,codeit_failed,B,0.8889,2,2,7,5
ae58858e,pair3,human_success,human_failed,B,17.1111,6,2,19,7
aee291af,pair3,human_success,human_failed,A,10.56,8,1,21,8
b0722778,pair3,human_success,human_failed,A,4.375,2,2,5,5
b0f4d537,pair3,human_success,human_failed,A,33.2143,8,2,47,59
b1fc8b8e,pair3,human_success,human_failed,A,10.52,5,1,9,39
b20f7c8b,pair3,human_success,human_failed,B,8.83,6,3,18,22
b457fec5,pair3,human_success,human_failed,B,135.9034,4,2,52,18
b7999b51,pair3,human_success,human_failed,A,0.9333,6,1,20,20
b7f8a4d8,pair2,human_failed,codeit_failed,B,9.1146,7,33,7,5
b7f8a4d8,pair3,human_success,human_failed,B,16.802,3,7,18,7
b7fb29bc,pair2,human_failed,codeit_failed,B,2.2708,1,3,51,5
b7fb29bc,pair3,human_success,human_failed,B,21.6875,7,1,54,51
b942fd60,pair3,human_success,human_failed,B,11.7442,4,5,68,8
b9630600,pair3,human_success,human_failed,B,196.5895,6,2,63,21
baf41dbf,pair3,human_success,human_failed,B,348.5791,7,1,72,25
bb52a14b,pair3,human_success,human_failed,B,76.7006,4,2,12,15
bbb1b8b6,pair1,human_success,codeit_success,A,2.0,9,7,19,6
bbb1b8b6,pair2,human_failed,codeit_failed,A,2.25,2,105,9,7
bbb1b8b6,pair3,human_success,human_failed,A,8.5,9,2,19,9
bbb1b8b6,pair4,codeit_success,codeit_failed,A,1.25,7,105,6,7
bc4146bd,pair1,human_success,codeit_success,A,5.9875,5,138,27,6
bc4146bd,pair2,human_failed,codeit_failed,A,7.8,1,1,85,7
bc4146bd,pair3,human_success,human_failed,A,4.4625,5,1,27,85
bc4146bd,pair4,codeit_success,codeit_failed,A,1.0,138,1,6,7
bd14c3bf,pair3,human_success,human_failed,B,7.5738,9,4,6,11
be03b35f,pair1,human_success,codeit_success,A,1.0,6,275,6,5
be03b35f,pair4,codeit_success,codeit_failed,A,0.5,275,35,5,5
bf32578f,pair3,human_success,human_failed,B,54.1667,4,1,26,10
c074846d,pair2,human_failed,codeit_failed,B,0.5,2,11,5,6
c074846d,pair3,human_success,human_failed,B,17.6667,7,2,8,5
c1990cce,pair3,human_success,human_failed,A,57.0242,4,3,66,8
c35c1b4c,pair3,human_success,human_failed,B,87.3333,3,1,22,18
c48954c1,pair3,human_success,human_failed,A,19.3086,3,2,90,96
c62e2108,pair3,human_success,human_failed,B,33.1944,4,1,25,32
c64f1187,pair3,human_success,human_failed,A,28.6364,12,2,35,46
c658a4bd,pair3,human_success,human_failed,A,10.91,6,2,20,42
c663677b,pair3,human_success,human_failed,B,21.5803,2,3,13,5
c6e1b8da,pair3,human_success,human_failed,B,13.7391,7,1,28,58
c8b7cc0f,pair2,human_failed,codeit_failed,A,2.0,1,1,9,8
c8b7cc0f,pair3,human_success,human_failed,A,3.1111,7,1,9,9
c92b942c,pair3,human_success,human_failed,A,18.8642,4,4,45,19
c97c0139,pair3,human_success,human_failed,B,433.1004,6,2,72,18
cad67732,pair3,human_success,human_failed,A,9.37,8,1,66,7
cb227835,pair3,human_success,human_failed,B,26.8,4,2,33,59
ccd554ac,pair2,human_failed,codeit_failed,A,0.0,6,257,6,7
ccd554ac,pair3,human_success,human_failed,A,17.48,4,6,30,6
cd3c21df,pair1,human_success,codeit_success,A,1.5,11,11,8,5
cd3c21df,pair2,human_failed,codeit_failed,A,2.0,1,121,5,5
cd3c21df,pair3,human_success,human_failed,A,3.5,11,1,8,5
cd3c21df,pair4,codeit_success,codeit_failed,A,2.0,11,121,5,5
ce039d91,pair3,human_success,human_failed,B,5.4,4,5,9,9
ce8d95cc,pair3,human_success,human_failed,A,5.7619,3,2,24,14
cfb2ce5a,pair3,human_success,human_failed,B,13.5405,6,7,41,13
d017b73f,pair3,human_success,human_failed,A,8.7083,6,2,17,17
d19f7514,pair1,human_success,codeit_success,A,2.5,3,59,22,6
d19f7514,pair2,human_failed,codeit_failed,A,4.9583,5,2,24,6
d19f7514,pair3,human_success,human_failed,A,6.0,3,5,22,24
d19f7514,pair4,codeit_success,codeit_failed,A,0.375,59,2,6,6
d282b262,pair3,human_success,human_failed,B,37.4506,4,3,67,21
d2acf2cb,pair2,human_failed,codeit_failed,B,10.0833,1,1,5,5
d2acf2cb,pair3,human_success,human_failed,B,12.5,3,1,26,5
d304284e,pair3,human_success,human_failed,B,128.9829,8,1,61,6
d492a647,pair3,human_success,human_failed,B,113.1136,5,3,49,11
d4b1c2b1,pair1,human_success,codeit_success,A,1.7778,6,12,12,5
d4b1c2b1,pair2,human_failed,codeit_failed,A,0.0,5,35,9,8
d4b1c2b1,pair3,human_success,human_failed,A,3.4444,6,5,12,9
d4b1c2b1,pair4,codeit_success,codeit_failed,A,1.0,12,35,5,8
d56f2372,pair2,human_failed,codeit_failed,A,0.0,2,200,6,5
d56f2372,pair3,human_success,human_failed,A,18.8889,4,2,29,6
d5c634a2,pair2,human_failed,codeit_failed,A,1.3889,2,1,11,7
d5c634a2,pair3,human_success,human_failed,A,6.4444,5,2,9,11
d931c21c,pair2,human_failed,codeit_failed,B,27.6309,1,11,26,5
d931c21c,pair3,human_success,human_failed,B,41.0309,9,1,132,26
d94c3b52,pair3,human_success,human_failed,B,53.4118,4,2,70,12
